-4361.7109375,-11847.133789,-2537.2077637,-6335.7314453,-6205.2885742,-2195.9047852,-5637.7963867,-4134.6181641,-4456.7890625,3133.2463379,-8820.1845703,-10106.452148,-2036.1444092,719.63098145,-5470.9667969,-10249.625977
-4360.4707031,-11855.013672,-2541.9892578,-6344.0688477,-6203.5444336,-2191.6657715,-5642.7250977,-4136.9223633,-4454.2836914,3129.8742676,-8820.7128906,-10108.12793,-2037.7965088,721.57110596,-5464.7602539,-10238.047852
-4359.1118164,-11855.160156,-2542.887207,-6340.6352539,-6205.8271484,-2194.8503418,-5642.1381836,-4136.2973633,-4449.3525391,3131.159668,-8821.2177734,-10105.952148,-2035.8269043,726.23352051,-5464.8764648,-10234.869141
-4354.7363281,-11846.642578,-2535.0241699,-6342.7519531,-6204.6494141,-2197.2626953,-5636.9985352,-4135.2807617,-4452.6040039,3133.7866211,-8822.0166016,-10110.033203,-2041.4544678,728.35461426,-5464.6787109,-10238.59082
-4350.190918,-11844.870117,-2538.9655762,-6337.6054688,-6199.9482422,-2191.8439941,-5628.0458984,-4129.8081055,-4452.6582031,3141.7648926,-8817.0576172,-10103.541992,-2036.6286621,742.40289307,-5455.3369141,-10230.295898
-4360.1201172,-11839.387695,-2539.1999512,-6335.6186523,-6201.0576172,-2189.9924316,-5626.3115234,-4130.0039063,-4449.4072266,3142.4909668,-8817.9853516,-10106.208984,-2038.1279297,735.3840332,-5469.9316406,-10251.78418
-4361.5166016,-11835.272461,-2532.8222656,-6336.2197266,-6204.6201172,-2190.1276855,-5621.8510742,-4129.9296875,-4447.2636719,3140.2006836,-8824.2900391,-10112.458008,-2045.3897705,722.34893799,-5490.8081055,-10275.741211
-4361.8007813,-11845.913086,-2528.7299805,-6330.546875,-6204.7285156,-2191.1472168,-5617.8344727,-4129.1074219,-4457.8857422,3135.2568359,-8828.3378906,-10114.027344,-2048.7399902,712.09960938,-5491.6611328,-10276.142578
-4366.9375,-11851.928711,-2534.1379395,-6333.6108398,-6204.1000977,-2192.6848145,-5622.6606445,-4131.7548828,-4468.5175781,3118.3544922,-8836.0917969,-10118.533203,-2047.1555176,675.76556396,-5504.4624023,-10280.818359
-4356.4487305,-11872.204102,-2550.5556641,-6339.4145508,-6206.5263672,-2194.8869629,-5623.7797852,-4133.5522461,-4467.3237305,3116.7922363,-8832.1132813,-10112.210938,-2042.9769287,683.39935303,-5495.7563477,-10274.693359
-4371.652832,-11867.982422,-2541.3144531,-6338.7124023,-6209.7880859,-2187.4228516,-5628.2456055,-4139.1894531,-4457.5205078,3117.3466797,-8825.1513672,-10108.90918,-2046.2988281,699.86859131,-5486.3764648,-10270.09375
-4381.0839844,-11857.436523,-2542.4067383,-6339.730957,-6209.9257813,-2186.9907227,-5629.5703125,-4137.4897461,-4457.2299805,3112.6115723,-8825.2539063,-10102.742188,-2039.3731689,704.96807861,-5482.8588867,-10258.074219
-4362.0644531,-11850.463867,-2535.4619141,-6338.3613281,-6201.081543,-2186.802002,-5625.2314453,-4134.9052734,-4455.3168945,3121.0595703,-8813.359375,-10086.21582,-2018.060791,722.31420898,-5455.5371094,-10221.5
